,Date,Year,Month,Day
0,2007-01-01,2007,01,01
1,2007-01-03,2007,01,03
2,2007-01-04,2007,01,04
3,2007-01-05,2007,01,05
4,2007-01-06,2007,01,06
5,2007-01-08,2007,01,08
6,2007-01-09,2007,01,09
7,2007-01-10,2007,01,10
8,2007-01-12,2007,01,12
9,2007-01-13,2007,01,13
10,2007-01-14,2007,01,14
11,2007-01-15,2007,01,15
12,2007-01-16,2007,01,16
13,2007-01-17,2007,01,17
14,2007-01-18,2007,01,18
15,2007-01-19,2007,01,19
16,2007-01-21,2007,01,21
17,2007-01-22,2007,01,22
18,2007-01-23,2007,01,23
19,2007-01-26,2007,01,26
20,2007-01-27,2007,01,27
21,2007-01-29,2007,01,29
22,2007-02-02,2007,02,02
23,2007-02-03,2007,02,03
24,2007-02-04,2007,02,04
25,2007-02-05,2007,02,05
26,2007-02-07,2007,02,07
27,2007-02-08,2007,02,08
28,2007-02-09,2007,02,09
29,2007-02-10,2007,02,10
30,2007-02-11,2007,02,11
31,2007-02-12,2007,02,12
32,2007-02-13,2007,02,13
33,2007-02-14,2007,02,14
34,2007-02-15,2007,02,15
35,2007-02-16,2007,02,16
36,2007-02-17,2007,02,17
37,2007-02-18,2007,02,18
38,2007-02-19,2007,02,19
39,2007-02-20,2007,02,20
40,2007-02-21,2007,02,21
41,2007-02-22,2007,02,22
42,2007-02-23,2007,02,23
43,2007-02-24,2007,02,24
44,2007-02-25,2007,02,25
45,2007-02-26,2007,02,26
46,2007-02-27,2007,02,27
47,2007-02-28,2007,02,28
48,2007-03-01,2007,03,01
49,2007-03-02,2007,03,02
50,2007-03-03,2007,03,03
51,2007-03-04,2007,03,04
52,2007-03-05,2007,03,05
53,2007-03-06,2007,03,06
54,2007-03-07,2007,03,07
55,2007-03-08,2007,03,08
56,2007-03-09,2007,03,09
57,2007-03-10,2007,03,10
58,2007-03-12,2007,03,12
59,2007-03-13,2007,03,13
60,2007-03-14,2007,03,14
61,2007-03-15,2007,03,15
62,2007-03-16,2007,03,16
63,2007-03-17,2007,03,17
64,2007-03-18,2007,03,18
65,2007-03-19,2007,03,19
66,2007-03-20,2007,03,20
67,2007-03-21,2007,03,21
68,2007-03-22,2007,03,22
69,2007-03-23,2007,03,23
70,2007-03-24,2007,03,24
71,2007-03-25,2007,03,25
72,2007-03-26,2007,03,26
73,2007-03-28,2007,03,28
74,2007-03-29,2007,03,29
75,2007-03-30,2007,03,30
76,2007-03-31,2007,03,31
77,2007-04-01,2007,04,01
78,2007-04-02,2007,04,02
79,2007-04-03,2007,04,03
80,2007-04-04,2007,04,04
81,2007-04-05,2007,04,05
82,2007-04-06,2007,04,06
83,2007-04-07,2007,04,07
84,2007-04-08,2007,04,08
85,2007-04-09,2007,04,09
86,2007-04-10,2007,04,10
87,2007-04-11,2007,04,11
88,2007-04-12,2007,04,12
89,2007-04-13,2007,04,13
90,2007-04-14,2007,04,14
91,2007-04-15,2007,04,15
92,2007-04-16,2007,04,16
93,2007-04-17,2007,04,17
94,2007-04-18,2007,04,18
95,2007-04-19,2007,04,19
96,2007-04-20,2007,04,20
97,2007-04-21,2007,04,21
98,2007-04-22,2007,04,22
99,2007-04-23,2007,04,23
100,2007-04-24,2007,04,24
101,2007-04-25,2007,04,25
102,2007-04-26,2007,04,26
103,2007-04-27,2007,04,27
104,2007-04-28,2007,04,28
105,2007-04-29,2007,04,29
106,2007-04-30,2007,04,30
107,2007-05-01,2007,05,01
108,2007-05-02,2007,05,02
109,2007-05-03,2007,05,03
110,2007-05-04,2007,05,04
111,2007-05-05,2007,05,05
112,2007-05-06,2007,05,06
113,2007-05-07,2007,05,07
114,2007-05-08,2007,05,08
115,2007-05-09,2007,05,09
116,2007-05-10,2007,05,10
117,2007-05-11,2007,05,11
118,2007-05-12,2007,05,12
119,2007-05-13,2007,05,13
120,2007-05-14,2007,05,14
121,2007-05-15,2007,05,15
122,2007-05-16,2007,05,16
123,2007-05-17,2007,05,17
124,2007-05-18,2007,05,18
125,2007-05-19,2007,05,19
126,2007-05-20,2007,05,20
127,2007-05-21,2007,05,21
128,2007-05-22,2007,05,22
129,2007-05-23,2007,05,23
130,2007-05-24,2007,05,24
131,2007-05-25,2007,05,25
132,2007-05-26,2007,05,26
133,2007-05-27,2007,05,27
134,2007-05-28,2007,05,28
135,2007-05-29,2007,05,29
136,2007-05-30,2007,05,30
137,2007-05-31,2007,05,31
138,2007-06-01,2007,06,01
139,2007-06-02,2007,06,02
140,2007-06-03,2007,06,03
141,2007-06-04,2007,06,04
142,2007-06-05,2007,06,05
143,2007-06-06,2007,06,06
144,2007-06-07,2007,06,07
145,2007-06-08,2007,06,08
146,2007-06-09,2007,06,09
147,2007-06-10,2007,06,10
148,2007-06-11,2007,06,11
149,2007-06-12,2007,06,12
150,2007-06-13,2007,06,13
151,2007-06-14,2007,06,14
152,2007-06-15,2007,06,15
153,2007-06-16,2007,06,16
154,2007-06-17,2007,06,17
155,2007-06-18,2007,06,18
156,2007-06-19,2007,06,19
157,2007-06-20,2007,06,20
158,2007-06-21,2007,06,21
159,2007-06-22,2007,06,22
160,2007-06-23,2007,06,23
161,2007-06-24,2007,06,24
162,2007-06-25,2007,06,25
163,2007-06-26,2007,06,26
164,2007-06-27,2007,06,27
165,2007-06-28,2007,06,28
166,2007-06-29,2007,06,29
167,2007-06-30,2007,06,30
168,2007-07-01,2007,07,01
169,2007-07-02,2007,07,02
170,2007-07-03,2007,07,03
171,2007-07-04,2007,07,04
172,2007-07-05,2007,07,05
173,2007-07-06,2007,07,06
174,2007-07-07,2007,07,07
175,2007-07-08,2007,07,08
176,2007-07-09,2007,07,09
177,2007-07-10,2007,07,10
178,2007-07-11,2007,07,11
179,2007-07-12,2007,07,12
180,2007-07-13,2007,07,13
181,2007-07-14,2007,07,14
182,2007-07-15,2007,07,15
183,2007-07-16,2007,07,16
184,2007-07-17,2007,07,17
185,2007-07-18,2007,07,18
186,2007-07-19,2007,07,19
187,2007-07-20,2007,07,20
188,2007-07-21,2007,07,21
189,2007-07-22,2007,07,22
190,2007-07-23,2007,07,23
191,2007-07-24,2007,07,24
192,2007-07-25,2007,07,25
193,2007-07-26,2007,07,26
194,2007-07-27,2007,07,27
195,2007-07-28,2007,07,28
196,2007-07-29,2007,07,29
197,2007-07-30,2007,07,30
198,2007-07-31,2007,07,31
199,2007-08-01,2007,08,01
200,2007-08-02,2007,08,02
201,2007-08-03,2007,08,03
202,2007-08-04,2007,08,04
203,2007-08-05,2007,08,05
204,2007-08-06,2007,08,06
205,2007-08-07,2007,08,07
206,2007-08-08,2007,08,08
207,2007-08-09,2007,08,09
208,2007-08-10,2007,08,10
209,2007-08-11,2007,08,11
210,2007-08-12,2007,08,12
211,2007-08-13,2007,08,13
212,2007-08-14,2007,08,14
213,2007-08-15,2007,08,15
214,2007-08-16,2007,08,16
215,2007-08-17,2007,08,17
216,2007-08-18,2007,08,18
217,2007-08-19,2007,08,19
218,2007-08-20,2007,08,20
219,2007-08-21,2007,08,21
220,2007-08-22,2007,08,22
221,2007-08-23,2007,08,23
222,2007-08-24,2007,08,24
223,2007-08-25,2007,08,25
224,2007-08-26,2007,08,26
225,2007-08-27,2007,08,27
226,2007-08-28,2007,08,28
227,2007-08-29,2007,08,29
228,2007-08-30,2007,08,30
229,2007-08-31,2007,08,31
230,2007-09-01,2007,09,01
231,2007-09-02,2007,09,02
232,2007-09-03,2007,09,03
233,2007-09-04,2007,09,04
234,2007-09-05,2007,09,05
235,2007-09-06,2007,09,06
236,2007-09-07,2007,09,07
237,2007-09-08,2007,09,08
238,2007-09-09,2007,09,09
239,2007-09-10,2007,09,10
240,2007-09-11,2007,09,11
241,2007-09-12,2007,09,12
242,2007-09-13,2007,09,13
243,2007-09-14,2007,09,14
244,2007-09-16,2007,09,16
245,2007-09-17,2007,09,17
246,2007-09-19,2007,09,19
247,2007-09-20,2007,09,20
248,2007-09-21,2007,09,21
249,2007-09-22,2007,09,22
250,2007-09-23,2007,09,23
251,2007-09-24,2007,09,24
252,2007-09-25,2007,09,25
253,2007-09-26,2007,09,26
254,2007-09-27,2007,09,27
255,2007-09-28,2007,09,28
256,2007-09-29,2007,09,29
257,2007-09-30,2007,09,30
258,2007-10-01,2007,10,01
259,2007-10-02,2007,10,02
260,2007-10-03,2007,10,03
261,2007-10-04,2007,10,04
262,2007-10-05,2007,10,05
263,2007-10-06,2007,10,06
264,2007-10-07,2007,10,07
265,2007-10-08,2007,10,08
266,2007-10-09,2007,10,09
267,2007-10-10,2007,10,10
268,2007-10-11,2007,10,11
269,2007-10-12,2007,10,12
270,2007-10-13,2007,10,13
271,2007-10-14,2007,10,14
272,2007-10-15,2007,10,15
273,2007-10-16,2007,10,16
274,2007-10-17,2007,10,17
275,2007-10-19,2007,10,19
276,2007-10-20,2007,10,20
277,2007-10-21,2007,10,21
278,2007-10-22,2007,10,22
279,2007-10-23,2007,10,23
280,2007-10-24,2007,10,24
281,2007-10-26,2007,10,26
282,2007-10-27,2007,10,27
283,2007-10-28,2007,10,28
284,2007-10-29,2007,10,29
285,2007-10-31,2007,10,31
286,2007-11-01,2007,11,01
287,2007-11-03,2007,11,03
288,2007-11-04,2007,11,04
289,2007-11-05,2007,11,05
290,2007-11-06,2007,11,06
291,2007-11-09,2007,11,09
292,2007-11-10,2007,11,10
